sample_id,response
GSM364627,NR
GSM364628,NR
GSM364629,NR
GSM364630,NR
GSM364631,NR
GSM364632,NR
GSM364633,R
GSM364634,R
GSM364635,R
GSM364636,R
GSM364637,R
GSM364638,R
GSM364639,R
GSM364640,R
GSM364641,NR
GSM364642,NR
GSM364643,NR
GSM364644,NR
GSM364645,NR
GSM364646,NR
GSM364647,NR
GSM364648,NR
GSM364649,NR
GSM364650,NR
GSM364651,NR
GSM364652,NR
GSM364653,NR
GSM364654,NR
GSM364655,NR
GSM364656,NR
GSM422963,R
GSM422965,R
GSM422967,R
GSM422969,R
GSM422971,R
GSM422973,R
GSM422975,R
GSM422977,R
GSM422979,NR
GSM422981,NR
GSM422983,NR
GSM422985,NR
GSM422987,NR
GSM422989,NR
GSM422991,NR
GSM422993,NR
GSM422995,NR
GSM422997,NR
GSM422999,NR
GSM423001,NR
GSM423003,NR
GSM423005,NR
GSM423007,NR
GSM423009,NR
GSM423010,R
GSM423011,R
GSM423012,R
GSM423013,R
GSM423014,R
GSM423015,R
GSM423016,R
GSM423017,R
GSM423018,R
GSM423019,R
GSM423020,R
GSM423021,R
GSM423022,R
GSM423023,R
GSM423024,R
GSM423025,R
GSM423026,R
GSM423027,R
GSM423028,R
GSM423029,R
GSM423030,R
GSM423031,R
GSM423032,R
GSM423033,NR
GSM423034,NR
GSM423035,NR
GSM423036,NR
GSM423037,NR
GSM423038,NR
GSM423039,NR
GSM423040,NR
GSM423041,NR
GSM423042,NR
GSM423043,NR
GSM423044,NR
GSM423045,NR
GSM423046,NR
GSM423047,NR
GSM423048,NR
GSM423049,NR
GSM423050,NR
GSM423051,NR
GSM423052,NR
GSM423053,R
GSM423054,R
GSM423055,R
GSM423056,R
GSM423057,R
GSM423058,R
GSM423059,R
GSM423060,R
GSM423061,R
GSM423062,R
GSM423063,R
GSM423064,R
GSM423065,R
GSM423066,R
GSM423067,R
GSM423068,R
GSM423069,NR
GSM423070,NR
GSM423071,NR
GSM423072,NR
GSM423073,NR
GSM423074,NR
GSM423075,NR
GSM423076,NR
GSM423077,NR
GSM423078,NR
GSM423079,NR
GSM423080,NR
GSM423081,NR
GSM423082,NR
GSM423083,NR
GSM423084,NR
GSM423085,NR
GSM423086,NR
GSM423087,NR
GSM423088,NR
